,Index,Image type,Image index,Distinctiveness,Reconstruction error,Distinctiveness rank,RE rank,RE group,Dist group,Rank diff,Rank sum
120,Filler-3235,Filler,3235,821.0410757792737,0.0638837951765508,2596.0,8562.0,Large,Small,,
121,Filler-3449,Filler,3449,817.6292359079488,0.0632490172741878,2567.0,8458.0,Large,Small,,
122,Filler-3500,Filler,3500,817.8100985150157,0.0651782647307913,2569.0,8701.0,Large,Small,,
123,Filler-3739,Filler,3739,699.988884831548,0.065896718385149,1485.0,8780.0,Large,Small,,
124,Filler-3773,Filler,3773,801.3657942379634,0.06407009585859,2387.0,8588.0,Large,Small,,
125,Filler-3913,Filler,3913,719.144933983687,0.0630011976420349,1626.0,8426.0,Large,Small,,
126,Filler-3966,Filler,3966,672.3905349645046,0.0629236206463995,1296.0,8416.0,Large,Small,,
127,Filler-4037,Filler,4037,620.2240348926148,0.0616387988602451,981.0,8248.0,Large,Small,,
128,Filler-4071,Filler,4071,668.7089671687182,0.062372020540001,1274.0,8347.0,Large,Small,,
129,Filler-4108,Filler,4108,804.0681314392474,0.0601167679738722,2414.0,8047.0,Large,Small,,
130,Filler-4319,Filler,4319,580.664682354348,0.0662613776751441,778.0,8816.0,Large,Small,,
131,Filler-4507,Filler,4507,777.9912995520086,0.0972158681388782,2150.0,10175.0,Large,Small,,
132,Filler-4558,Filler,4558,187.8860007887424,0.0623356948764024,41.5,8342.0,Large,Small,,
133,Filler-4579,Filler,4579,777.9750930166214,0.0606644805373309,2149.0,8113.0,Large,Small,,
134,Filler-4584,Filler,4584,795.6099851474713,0.0739336605076274,2316.0,9459.0,Large,Small,,
135,Filler-4621,Filler,4621,704.6556781374983,0.0802072190800061,1517.0,9754.0,Large,Small,,
136,Filler-4631,Filler,4631,806.7057033477879,0.0598002152789892,2448.0,8005.0,Large,Small,,
137,Filler-4646,Filler,4646,718.268659676757,0.074464297703562,1619.0,9491.0,Large,Small,,
138,Filler-4687,Filler,4687,778.768145763622,0.0590024151160236,2159.0,7884.0,Large,Small,,
139,Filler-4728,Filler,4728,72.44586325319287,0.0765948465948797,37.5,9610.0,Large,Small,,
140,Filler-4743,Filler,4743,705.9561653305362,0.0730594587495322,1531.0,9410.0,Large,Small,,
141,Filler-4836,Filler,4836,821.228269043945,0.0614677314725182,2598.0,8222.0,Large,Small,,
142,Filler-4845,Filler,4845,768.9808125734752,0.0729527818300332,2060.0,9398.0,Large,Small,,
143,Filler-4879,Filler,4879,813.5704177177997,0.0750691246102336,2523.0,9528.0,Large,Small,,
144,Filler-4893,Filler,4893,617.24035969671,0.0603718103344254,963.0,8078.0,Large,Small,,
145,Filler-4949,Filler,4949,796.4376346580685,0.0615356896222304,2329.0,8232.0,Large,Small,,
146,Filler-5022,Filler,5022,817.3027339731688,0.0668754803056744,2565.0,8877.0,Large,Small,,
147,Filler-5095,Filler,5095,809.8281591432672,0.0660467011352059,2485.0,8797.0,Large,Small,,
148,Filler-5113,Filler,5113,684.6117988897989,0.0641980197773912,1387.0,8607.0,Large,Small,,
149,Filler-5184,Filler,5184,822.0057572159094,0.0636130835458002,2607.0,8513.0,Large,Small,,
150,Filler-5327,Filler,5327,604.7512086573211,0.0607634411048701,902.0,8130.0,Large,Small,,
151,Filler-5349,Filler,5349,776.1918282645703,0.0625873332782771,2132.0,8375.0,Large,Small,,
152,Filler-5356,Filler,5356,812.1953303237956,0.0610103362868787,2509.0,8157.0,Large,Small,,
153,Filler-5418,Filler,5418,801.1765160234448,0.063215861407925,2382.0,8452.0,Large,Small,,
154,Filler-5430,Filler,5430,793.7852316733831,0.0774630596152014,2298.0,9644.0,Large,Small,,
155,Filler-5496,Filler,5496,767.3092426564467,0.0693162068668697,2044.0,9130.0,Large,Small,,
156,Filler-5507,Filler,5507,594.3019470776592,0.0637522464115475,851.0,8537.0,Large,Small,,
157,Filler-5543,Filler,5543,753.2917454363153,0.0824308818591611,1918.0,9839.0,Large,Small,,
158,Filler-5580,Filler,5580,664.7923759714172,0.063286446185545,1255.0,8463.0,Large,Small,,
159,Filler-5855,Filler,5855,814.2466972306329,0.0653696801198629,2529.0,8724.0,Large,Small,,
160,Filler-6043,Filler,6043,763.4664375591977,0.0680738130529532,2008.0,9014.0,Large,Small,,
161,Filler-6044,Filler,6044,812.2069424509291,0.0671497132156811,2510.0,8917.0,Large,Small,,
162,Filler-6054,Filler,6054,704.725237362777,0.0670613080312042,1518.0,8904.0,Large,Small,,
163,Filler-6109,Filler,6109,551.5536614964832,0.063794961492779,645.0,8545.0,Large,Small,,
164,Filler-6140,Filler,6140,753.6935167227742,0.0626658528237901,1925.0,8387.0,Large,Small,,
165,Filler-6147,Filler,6147,65.95552057093715,0.0610820829210047,35.5,8170.0,Large,Small,,
166,Filler-6174,Filler,6174,773.9528317121237,0.0646831721347305,2108.0,8659.0,Large,Small,,
167,Filler-6188,Filler,6188,535.4588011098105,0.1064178100008964,564.5,10278.0,Large,Small,,
168,Filler-6214,Filler,6214,747.8682007108353,0.0611637142675359,1878.0,8183.0,Large,Small,,
169,Filler-6285,Filler,6285,767.262697460911,0.0830964361246712,2042.0,9870.0,Large,Small,,
170,Filler-6311,Filler,6311,664.1153241394265,0.0683524401333238,1250.0,9038.0,Large,Small,,
171,Filler-6342,Filler,6342,699.4133440441525,0.0633819332136706,1480.0,8477.0,Large,Small,,
172,Filler-6355,Filler,6355,768.6913585460229,0.0701119149401329,2053.0,9196.0,Large,Small,,
173,Filler-6369,Filler,6369,697.4720240420273,0.0730339337322786,1467.0,9406.0,Large,Small,,
174,Filler-6435,Filler,6435,604.3428109526619,0.1021947738374462,900.0,10241.0,Large,Small,,
175,Filler-6482,Filler,6482,679.9307144531865,0.0633738255107164,1341.0,8476.0,Large,Small,,
176,Filler-6507,Filler,6507,759.8554272772394,0.0723035191829197,1977.0,9347.0,Large,Small,,
177,Filler-6577,Filler,6577,765.9083220160046,0.068221689131546,2030.0,9029.0,Large,Small,,
178,Filler-6735,Filler,6735,0.0,0.0711236555962137,17.5,9266.5,Large,Small,,
179,Filler-6752,Filler,6752,680.3921855149448,0.0637533325512233,1348.0,8538.0,Large,Small,,
180,Filler-6863,Filler,6863,784.8697668208656,0.0930220984430566,2207.0,10109.0,Large,Small,,
181,Filler-6873,Filler,6873,787.7269752950168,0.0640455566100563,2234.0,8586.0,Large,Small,,
182,Filler-6979,Filler,6979,787.9558931277354,0.0647757742352153,2236.0,8667.0,Large,Small,,
183,Filler-6995,Filler,6995,633.351457267152,0.059488724802065,1057.0,7943.0,Large,Small,,
184,Filler-7154,Filler,7154,708.44825916442,0.0616252838011911,1550.0,8245.0,Large,Small,,
185,Filler-7209,Filler,7209,765.9331927552248,0.059842613717843,2031.0,8013.0,Large,Small,,
186,Filler-7482,Filler,7482,777.071728033111,0.0612683169282976,2140.0,8208.0,Large,Small,,
187,Filler-7517,Filler,7517,716.4694269755307,0.0588202085669978,1607.0,7850.0,Large,Small,,
188,Filler-7588,Filler,7588,813.3239551444577,0.0649442817114945,2522.0,8680.0,Large,Small,,
189,Filler-7629,Filler,7629,584.2136795089865,0.0634631932446451,792.0,8484.0,Large,Small,,
190,Filler-7648,Filler,7648,737.3416320531495,0.0587922874395306,1784.0,7846.0,Large,Small,,
191,Filler-7802,Filler,7802,656.5439582546159,0.075081605075468,1198.0,9529.0,Large,Small,,
192,Filler-7963,Filler,7963,715.8517461239336,0.0590116816012971,1599.0,7885.0,Large,Small,,
193,Filler-8013,Filler,8013,736.0826919853304,0.0729148328297891,1770.0,9396.0,Large,Small,,
194,Filler-8015,Filler,8015,820.3754505009678,0.0753086831126356,2591.0,9542.0,Large,Small,,
195,Filler-4373,Filler,4373,1321.43978519148,0.0266841990792656,9520.0,368.0,Small,Large,9152.0,
196,Target-1563,Target,1563,1389.8258619919982,0.0310836962893939,9963.0,938.0,Small,Large,9025.0,
197,Filler-1861,Filler,1861,1344.1575321559858,0.0299839557365689,9708.0,767.0,Small,Large,8941.0,
198,Target-1954,Target,1954,1434.3333871097643,0.0327540720289997,10130.0,1236.0,Small,Large,8894.0,
199,Filler-3682,Filler,3682,1346.015965974167,0.0307726367484989,9726.0,891.0,Small,Large,8835.0,
200,Target-1657,Target,1657,1371.5633119412337,0.0317332059196658,9868.0,1062.0,Small,Large,8806.0,
201,Target-579,Target,579,1330.4074443820923,0.0306412352885783,9594.0,877.0,Small,Large,8717.0,
202,Target-1018,Target,1018,1381.1264191232776,0.0326024267169933,9915.0,1210.0,Small,Large,8705.0,
203,Filler-6080,Filler,6080,1270.5933547260586,0.0277641449371801,9148.0,468.0,Small,Large,8680.0,
204,Target-809,Target,809,1312.4502707724473,0.0303103124711317,9465.0,834.0,Small,Large,8631.0,
205,Filler-1122,Filler,1122,1254.9152734945446,0.0268787604524214,9000.0,390.0,Small,Large,8610.0,
206,Filler-7961,Filler,7961,1269.331925542128,0.0290832479844286,9134.0,619.0,Small,Large,8515.0,
207,Filler-949,Filler,949,1447.114588948017,0.0345543496045572,10163.0,1660.0,Small,Large,8503.0,
208,Filler-1266,Filler,1266,1361.3162195151508,0.0331682230976229,9827.0,1332.0,Small,Large,8495.0,
209,Filler-2453,Filler,2453,1262.1681284487036,0.0287767343509284,9066.0,573.0,Small,Large,8493.0,
210,Filler-2991,Filler,2991,1233.8149555168372,0.0254648548625752,8734.0,254.0,Small,Large,8480.0,
211,Target-2077,Target,2077,1304.1976360360554,0.0310275052655602,9389.0,932.0,Small,Large,8457.0,
212,Filler-3103,Filler,3103,1472.2346667169284,0.0350844990768589,10209.0,1778.0,Small,Large,8431.0,
213,Filler-7722,Filler,7722,1388.0934985386982,0.0340619710626966,9956.0,1541.0,Small,Large,8415.0,
214,Target-635,Target,635,1323.8467029479632,0.0323271233058852,9544.0,1157.0,Small,Large,8387.0,
215,Filler-3315,Filler,3315,1276.277841133603,0.030231645967757,9196.0,822.0,Small,Large,8374.0,
216,Filler-3486,Filler,3486,1263.2481583318672,0.029773607724259,9078.0,729.0,Small,Large,8349.0,
217,Filler-6143,Filler,6143,1216.240842170398,0.0243106619132066,8517.0,182.0,Small,Large,8335.0,
218,Filler-5694,Filler,5694,1265.4666830208596,0.030029744911043,9091.0,776.0,Small,Large,8315.0,
219,Filler-6720,Filler,6720,1333.724582799232,0.0330732999128836,9617.0,1308.0,Small,Large,8309.0,
220,Target-414,Target,414,1327.8678579327166,0.0329131680261395,9576.0,1277.0,Small,Large,8299.0,
221,Filler-4552,Filler,4552,1266.0133695223533,0.0302981467119029,9100.0,832.0,Small,Large,8268.0,
222,Target-1023,Target,1023,1247.8439915310366,0.0294059787999381,8920.0,656.0,Small,Large,8264.0,
223,Filler-1914,Filler,1914,1399.9796012171876,0.0351923003835474,10005.0,1802.0,Small,Large,8203.0,
224,Filler-1661,Filler,1661,1234.2470457988686,0.0287823746193916,8744.0,575.0,Small,Large,8169.0,
225,Filler-6125,Filler,6125,1195.9477185968824,0.0229399942533033,8229.0,114.0,Small,Large,8115.0,
226,Filler-5768,Filler,5768,1318.7543629398992,0.0335806501297578,9505.0,1423.0,Small,Large,8082.0,
227,Filler-6505,Filler,6505,1472.2433651898325,0.0364836566055921,10210.0,2131.0,Small,Large,8079.0,
228,Filler-3402,Filler,3402,1231.9392207433737,0.02930589481037,8719.0,644.0,Small,Large,8075.0,
229,Filler-6199,Filler,6199,1305.878119770685,0.0332592843422874,9403.0,1346.0,Small,Large,8057.0,
230,Target-935,Target,935,1245.0753116798296,0.0303237921672113,8895.0,839.0,Small,Large,8056.0,
231,Filler-7921,Filler,7921,1223.2203315160598,0.0290439031450975,8617.0,615.0,Small,Large,8002.0,
232,Target-1083,Target,1083,1286.1703125433332,0.032913240912859,9278.0,1278.0,Small,Large,8000.0,
233,Filler-4181,Filler,4181,1337.18125800772,0.0345362923182252,9654.0,1655.0,Small,Large,7999.0,
234,Filler-6178,Filler,6178,1232.1644529691996,0.0297905720377505,8723.0,730.0,Small,Large,7993.0,
235,Filler-1420,Filler,1420,1275.1141260093464,0.0325963618464342,9189.0,1209.0,Small,Large,7980.0,
236,Target-323,Target,323,1396.419360803943,0.0361397622380547,9993.0,2037.0,Small,Large,7956.0,
237,Filler-7554,Filler,7554,1333.2595248497182,0.0345585195317433,9614.0,1661.0,Small,Large,7953.0,
238,Filler-1047,Filler,1047,1236.7381106149303,0.0303193356385173,8786.0,838.0,Small,Large,7948.0,
239,Filler-7950,Filler,7950,1458.966318906708,0.0369507955429788,10184.0,2252.0,Small,Large,7932.0,
240,Filler-1822,Filler,1822,1351.007342572855,0.0354610366860004,9760.0,1853.0,Small,Large,7907.0,
241,Filler-6509,Filler,6509,1349.3215712526055,0.0354671196064201,9748.0,1854.0,Small,Large,7894.0,
242,Filler-666,Filler,666,1178.94606715013,0.02246898205981,7972.0,97.0,Small,Large,7875.0,
243,Target-1984,Target,1984,1243.5592686402022,0.0314962183358238,8881.0,1008.0,Small,Large,7873.0,
244,Filler-7563,Filler,7563,1234.5988762048305,0.0310603038042122,8750.0,934.0,Small,Large,7816.0,
245,Target-781,Target,781,1293.3426096059452,0.0339510233298927,9320.0,1510.0,Small,Large,7810.0,
246,Filler-4933,Filler,4933,1311.6692189719474,0.0345229414343087,9461.0,1652.0,Small,Large,7809.0,
247,Filler-3559,Filler,3559,1207.905246013431,0.0290142089285992,8410.0,611.0,Small,Large,7799.0,
248,Filler-2414,Filler,2414,1241.493579623179,0.0317078737840071,8849.0,1058.0,Small,Large,7791.0,
249,Filler-789,Filler,789,1348.7170104439674,0.0358256474559419,9744.0,1959.0,Small,Large,7785.0,
250,Filler-7467,Filler,7467,1380.7906013087534,0.0365353829454769,9914.0,2142.0,Small,Large,7772.0,
251,Filler-940,Filler,940,1279.688864844545,0.0337193033886414,9226.0,1457.0,Small,Large,7769.0,
252,Filler-7600,Filler,7600,1251.560658776044,0.0325246359555371,8958.0,1197.0,Small,Large,7761.0,
253,Target-1167,Target,1167,1298.7052571792606,0.034414785474877,9361.0,1615.0,Small,Large,7746.0,
254,Filler-6411,Filler,6411,1190.0762768609982,0.0269710295226823,8136.0,398.0,Small,Large,7738.0,
255,Filler-2514,Filler,2514,1315.1236252911854,0.0349648744522908,9480.0,1754.0,Small,Large,7726.0,
256,Filler-117,Filler,117,1301.7471834410092,0.0346016975479465,9374.0,1671.0,Small,Large,7703.0,
257,Filler-6926,Filler,6926,1348.0941075729218,0.0362471757929272,9740.0,2058.0,Small,Large,7682.0,
258,Filler-7837,Filler,7837,1234.3743644097044,0.0320072346213192,8746.0,1092.0,Small,Large,7654.0,
259,Filler-4746,Filler,4746,1196.5259242855122,0.0290012361350921,8238.0,607.0,Small,Large,7631.0,
260,Target-1119,Target,1119,1213.702041104582,0.0304675965647972,8486.0,855.0,Small,Large,7631.0,
261,Filler-2186,Filler,2186,1216.5909770096166,0.0307809360746227,8524.0,895.0,Small,Large,7629.0,
262,Filler-79,Filler,79,1270.7903035312515,0.0340442739982615,9150.0,1534.0,Small,Large,7616.0,
263,Filler-7721,Filler,7721,1204.488069833961,0.0300655674589502,8355.0,790.0,Small,Large,7565.0,
264,Filler-491,Filler,491,1262.8025498373731,0.0339678778268114,9074.0,1519.0,Small,Large,7555.0,
265,Filler-5199,Filler,5199,1329.2015799039889,0.0361372804313847,9588.0,2035.0,Small,Large,7553.0,
266,Target-317,Target,317,1314.7399635413929,0.0357210516458285,9477.0,1925.0,Small,Large,7552.0,
267,Filler-228,Filler,228,1277.1552192225774,0.0345125442043097,9198.0,1647.0,Small,Large,7551.0,
268,Filler-109,Filler,109,1324.7363754261958,0.036084434424268,9551.0,2018.0,Small,Large,7533.0,
269,Target-899,Target,899,1281.266319419913,0.0347731934207466,9234.0,1703.0,Small,Large,7531.0,
270,Filler-1239,Filler,1239,1375.9456770636602,0.0373584419931174,9894.0,2367.0,Small,Large,7527.0,
271,Filler-549,Filler,549,1314.638939221452,0.035826341858382,9476.0,1960.0,Small,Large,7516.0,
272,Target-291,Target,291,1308.8537166861165,0.0357515991055995,9430.0,1936.0,Small,Large,7494.0,
