,Index,Image type,Image index,Distinctiveness,Reconstruction error,Distinctiveness rank,RE rank
163,Filler-1365,Filler,1365,977.2917696111464,0.0454581318551553,4697.0,4768.0
164,Filler-1407,Filler,1407,1010.6750041123988,0.0449421964863723,5234.0,4640.0
165,Filler-1444,Filler,1444,947.4918840784744,0.0452191611906358,4200.0,4723.0
166,Filler-1449,Filler,1449,1042.5245497968242,0.0464975718412046,5774.0,5060.0
167,Filler-1505,Filler,1505,1033.5454359599594,0.0435547957841485,5614.0,4221.0
168,Filler-1510,Filler,1510,948.6970061611725,0.0506377987679786,4221.0,6169.0
169,Filler-1527,Filler,1527,1001.1471347903204,0.0488371705556125,5082.0,5679.0
170,Filler-1529,Filler,1529,1025.899679263044,0.0506582794219025,5495.0,6175.0
171,Filler-1565,Filler,1565,1004.8974206958192,0.0469597509555941,5135.0,5194.0
172,Filler-1568,Filler,1568,972.230791998772,0.0467152816034328,4595.0,5131.0
173,Filler-1588,Filler,1588,976.3708950264408,0.0435280024940801,4674.0,4212.0
174,Filler-1598,Filler,1598,1009.0680444750913,0.0448923742699353,5205.0,4624.0
175,Filler-1622,Filler,1622,995.6128364670756,0.0467094196515561,5005.0,5128.0
176,Filler-1632,Filler,1632,982.9731300407718,0.045244089213277,4798.0,4729.0
177,Filler-1633,Filler,1633,1064.8178406384084,0.0502952067046645,6170.0,6093.0
178,Filler-1668,Filler,1668,1048.0245535336978,0.0478310944344223,5860.0,5446.0
179,Filler-1697,Filler,1697,1058.1726550185542,0.0460756931668254,6031.0,4932.0
180,Filler-1712,Filler,1712,1017.2374011883788,0.046081301161597,5340.0,4934.0
181,Filler-1723,Filler,1723,970.624392252525,0.0476553227371515,4561.0,5388.0
182,Filler-1744,Filler,1744,989.0809510944694,0.045348285148879,4900.0,4751.0
183,Filler-1746,Filler,1746,1014.5871526365332,0.0503604464773228,5295.0,6110.0
184,Filler-1769,Filler,1769,969.2981019530883,0.0493457618670823,4544.0,5812.0
185,Filler-1814,Filler,1814,1024.8332642355535,0.0445330139395428,5482.0,4512.0
186,Filler-1835,Filler,1835,958.1801423600692,0.0437409383929902,4370.0,4282.0
187,Filler-1867,Filler,1867,964.3045703136548,0.0465830278573355,4482.0,5084.0
188,Filler-1874,Filler,1874,1046.5174981504435,0.0466178807998432,5840.0,5099.0
189,Filler-1881,Filler,1881,1018.9140104757728,0.0484556122449429,5371.0,5583.0
190,Filler-1891,Filler,1891,1020.6554121432692,0.0459680602575441,5403.0,4907.0
191,Filler-1963,Filler,1963,961.6015426204712,0.0489476985713588,4432.0,5703.0
192,Filler-2067,Filler,2067,988.6476595733292,0.0436095519491475,4895.0,4232.0
193,Filler-2092,Filler,2092,1019.1739253595229,0.0495349009203381,5377.0,5868.0
194,Filler-2117,Filler,2117,998.4063992397952,0.0461433971792807,5047.0,4952.0
195,Filler-2121,Filler,2121,1014.4699180650794,0.0476229665527415,5292.0,5381.0
196,Filler-2155,Filler,2155,975.3552724645884,0.0454866394191602,4649.0,4777.0
197,Filler-2191,Filler,2191,978.065828394654,0.0497965374962545,4716.0,5946.0
198,Filler-2209,Filler,2209,1023.0469404815032,0.0498331050465765,5445.0,5959.0
199,Filler-2226,Filler,2226,956.8389769272368,0.0479338214380158,4348.0,5467.0
200,Filler-2272,Filler,2272,1049.039910593092,0.0498856339284997,5877.0,5975.0
201,Filler-2310,Filler,2310,1051.2141710674134,0.0508682302909663,5909.0,6231.0
202,Filler-2331,Filler,2331,998.0711759168912,0.044859010359364,5041.0,4613.0
203,Filler-2349,Filler,2349,981.9338751581016,0.0498702571227413,4774.0,5971.0
204,Filler-2364,Filler,2364,958.1461462502532,0.0461036605676623,4368.0,4937.0
205,Filler-2373,Filler,2373,983.6590899203952,0.0492864622876225,4810.0,5794.0
206,Filler-2376,Filler,2376,1034.1251211684062,0.0466554058438373,5624.0,5112.0
207,Filler-2386,Filler,2386,1058.6901340023455,0.0462230046841334,6041.0,4978.0
208,Filler-2399,Filler,2399,1009.8962295765076,0.046545178274602,5224.0,5073.0
209,Filler-2428,Filler,2428,1054.031422098906,0.0452387003039569,5959.0,4728.0
210,Filler-2444,Filler,2444,1025.439631443943,0.0491298063584288,5487.0,5747.0
211,Filler-2458,Filler,2458,1056.1815666677428,0.0450310224930324,5994.0,4673.0
212,Filler-2474,Filler,2474,1064.0621701020789,0.050510194754901,6150.0,6143.0
213,Filler-2513,Filler,2513,1014.3790551574684,0.0438323211235226,5291.0,4311.0
214,Filler-2558,Filler,2558,1056.3435514363002,0.0456539055718962,5998.0,4825.0
215,Filler-2589,Filler,2589,948.9471880286322,0.0451899473172243,4223.0,4713.0
216,Filler-2606,Filler,2606,946.6503103949922,0.0462766925770177,4182.0,4995.0
217,Filler-2651,Filler,2651,948.3749846097844,0.0462556355932381,4216.0,4987.0
218,Filler-2731,Filler,2731,1066.3764614396575,0.0483795170591837,6199.0,5570.0
219,Filler-2746,Filler,2746,977.7441218771288,0.0500005534030943,4709.0,6016.0
220,Filler-2754,Filler,2754,1056.6078704979504,0.0443916710700449,6006.0,4472.0
221,Filler-2765,Filler,2765,948.4853470781552,0.0469574848703841,4218.0,5193.0
222,Filler-2893,Filler,2893,1059.9018764752875,0.0436831112786978,6058.0,4254.0
223,Filler-2929,Filler,2929,972.1343838838768,0.0474898465032587,4594.0,5343.0
224,Filler-2955,Filler,2955,973.3328684623366,0.0460970509817036,4612.0,4936.0
225,Filler-2967,Filler,2967,1036.6839787581114,0.0495909867175262,5662.0,5885.0
226,Filler-2976,Filler,2976,949.5392380479176,0.0507424854313729,4233.5,6200.0
227,Filler-2988,Filler,2988,1022.1942260869708,0.0506878834760377,5433.0,6182.0
228,Filler-3020,Filler,3020,1028.8356698248606,0.050233975402217,5536.0,6074.0
229,Filler-3030,Filler,3030,975.5861555866004,0.0500720154588472,4659.0,6032.0
230,Filler-3108,Filler,3108,971.3381435281748,0.0472632996942395,4578.0,5279.0
231,Filler-3159,Filler,3159,971.3975814471612,0.0501934728280597,4579.0,6062.0
232,Filler-3167,Filler,3167,985.1526669247088,0.048148580008052,4832.0,5516.0
233,Filler-3192,Filler,3192,951.5154185251412,0.0456231591576392,4263.0,4815.0
234,Filler-3236,Filler,3236,951.7103525074716,0.0496670107178532,4269.0,5905.0
235,Filler-3247,Filler,3247,1040.578701443441,0.0474981720735145,5738.0,5345.0
236,Filler-3296,Filler,3296,1016.8872269143076,0.0463319995891605,5334.0,5007.0
237,Filler-3317,Filler,3317,1063.6908859256682,0.0470354133688087,6145.0,5220.0
238,Filler-3336,Filler,3336,1046.8206143680156,0.0458347119937431,5846.0,4870.0
239,Filler-3382,Filler,3382,1031.9043264065583,0.050739926254852,5586.0,6199.0
240,Filler-3434,Filler,3434,1023.0905961168332,0.0442246804140605,5451.0,4425.0
241,Filler-3462,Filler,3462,953.3515835566536,0.0442589506625448,4291.0,4433.0
242,Filler-3597,Filler,3597,1045.6246040000717,0.0447773255355,5829.0,4588.0
243,Filler-3610,Filler,3610,1010.89967686076,0.0437050458131795,5239.0,4262.0
244,Filler-3623,Filler,3623,1039.212124306203,0.050268984749217,5711.0,6085.0
245,Filler-3632,Filler,3632,1030.614125937912,0.0460280169889217,5564.0,4921.0
246,Filler-3643,Filler,3643,956.5946317455672,0.050527246670865,4345.0,6147.0
247,Filler-3645,Filler,3645,1036.1256666900686,0.0492910992244665,5649.0,5798.0
248,Filler-3650,Filler,3650,976.3959880368848,0.0492285572325541,4675.0,5775.0
249,Filler-3653,Filler,3653,984.924697889634,0.0506716300167117,4827.0,6179.0
250,Filler-3654,Filler,3654,1009.6337655891084,0.0480354547214471,5217.0,5493.0
251,Filler-3699,Filler,3699,1039.8014632752586,0.0463457975194509,5722.0,5014.0
252,Filler-3760,Filler,3760,1046.0040531106602,0.0487481023930632,5833.0,5658.0
253,Filler-3796,Filler,3796,1048.6158877908529,0.0475960508122587,5874.0,5376.0
254,Filler-3814,Filler,3814,971.8032694176048,0.0436125786593985,4585.0,4235.0
255,Filler-3881,Filler,3881,959.4355748222716,0.0505732860640755,4394.0,6159.0
256,Filler-3968,Filler,3968,985.306991531294,0.0487991251046671,4836.0,5669.0
257,Filler-3997,Filler,3997,1059.000429181845,0.0434329618649763,6045.0,4190.0
258,Filler-4046,Filler,4046,1010.9662134501684,0.0459320780862629,5243.0,4900.0
259,Filler-4081,Filler,4081,1028.8571215411455,0.046681915874915,5538.0,5119.0
260,Filler-4112,Filler,4112,949.3699878048092,0.0450051905780335,4229.0,4660.0
261,Filler-4213,Filler,4213,1033.9287769027312,0.049992997901777,5617.0,6012.0
262,Filler-4232,Filler,4232,1054.5930821517725,0.0498240781953702,5968.0,5955.0
263,Filler-4248,Filler,4248,1007.5859297926936,0.0497940963985981,5181.0,5945.0
264,Filler-4253,Filler,4253,949.7767493393088,0.0435067378838926,4236.0,4207.0
265,Filler-4269,Filler,4269,968.5142859336604,0.0454194161398972,4528.0,4764.0
266,Filler-4273,Filler,4273,1045.539356929066,0.0441038715071887,5827.0,4398.0
267,Filler-4285,Filler,4285,1064.684338966105,0.0488434417814343,6165.0,5681.0
268,Filler-4289,Filler,4289,947.851641112453,0.0464340806341009,4205.0,5037.0
269,Filler-4303,Filler,4303,1042.9806102617172,0.0471846341715241,5779.0,5258.0
270,Filler-4304,Filler,4304,952.8246068958414,0.0438482211632864,4285.0,4315.0
271,Filler-4318,Filler,4318,955.0072123491908,0.0465863121167628,4317.0,5088.0
272,Filler-4331,Filler,4331,992.1576974918536,0.0489746221954689,4950.0,5711.0
273,Filler-4383,Filler,4383,993.4314285353618,0.0442778922400699,4976.0,4439.0
274,Filler-4389,Filler,4389,979.8183426569,0.0471675896690501,4742.0,5252.0
275,Filler-4406,Filler,4406,1061.2408607931238,0.0499580951077233,6080.0,5996.0
276,Filler-4430,Filler,4430,1031.4907766940066,0.0475266877424135,5581.0,5354.0
277,Filler-4442,Filler,4442,1049.1689531751265,0.0464533622293613,5879.0,5042.0
278,Filler-4474,Filler,4474,1069.0944584261365,0.0443724566486591,6245.0,4469.0
279,Filler-4509,Filler,4509,975.3610595105326,0.0482666512464875,4651.0,5545.0
280,Filler-4542,Filler,4542,988.5424428481344,0.0473023035522834,4892.0,5291.0
281,Filler-4557,Filler,4557,1054.6820688887449,0.0497847582055792,5970.0,5941.0
282,Filler-4600,Filler,4600,1043.0731688097153,0.0499634155790899,5782.0,5998.0
283,Filler-4633,Filler,4633,989.4011722656264,0.0493454655498453,4906.0,5811.0
284,Filler-4683,Filler,4683,1028.046659837241,0.0506467298629177,5524.0,6172.0
285,Filler-4703,Filler,4703,1029.4717042393293,0.0487605720669198,5547.0,5662.0
286,Filler-4735,Filler,4735,1057.7603944343307,0.0467678848297042,6024.0,5145.0
287,Filler-4749,Filler,4749,972.4580485069324,0.044096194813698,4600.0,4394.0
288,Filler-4781,Filler,4781,1020.1926455288226,0.0509780385187477,5392.0,6259.0
289,Filler-4819,Filler,4819,987.471572141412,0.0492469791871809,4867.0,5786.0
290,Filler-4824,Filler,4824,1024.7627551774465,0.0444373953736802,5480.0,4482.0
291,Filler-4833,Filler,4833,1032.1381710020212,0.0447091073490463,5589.0,4564.0
292,Filler-4839,Filler,4839,1007.2767642739972,0.0482401617658739,5174.0,5541.0
293,Filler-4844,Filler,4844,1033.084222139669,0.048879016261417,5604.0,5690.0
294,Filler-4863,Filler,4863,985.1320172267168,0.0499352210898665,4831.0,5988.0
295,Filler-4890,Filler,4890,1048.4634064371214,0.0458929104801197,5871.0,4887.0
296,Filler-4896,Filler,4896,981.7252790935826,0.0450250545393454,4771.0,4670.0
297,Filler-4968,Filler,4968,992.9479947875936,0.0462198114258866,4967.0,4977.0
298,Filler-5027,Filler,5027,980.4496885661116,0.0480009627233305,4750.0,5482.0
299,Filler-5092,Filler,5092,978.0490228029504,0.0435643626215877,4715.0,4225.0
300,Filler-5093,Filler,5093,1061.341157907974,0.0442327263229915,6086.0,4428.0
301,Filler-5130,Filler,5130,976.869664743602,0.0441196119415726,4683.0,4401.0
302,Filler-5160,Filler,5160,1061.7309534398323,0.0464800551928402,6093.0,5051.0
303,Filler-5177,Filler,5177,1059.0331980829226,0.0462544531957864,6047.0,4986.0
304,Filler-5196,Filler,5196,959.7220661601492,0.0506672479168885,4399.0,6178.0
305,Filler-5240,Filler,5240,1000.490235635154,0.0491709364714928,5075.0,5755.0
306,Filler-5243,Filler,5243,971.1622822591522,0.0502120769420842,4572.0,6069.0
307,Filler-5248,Filler,5248,958.739800510064,0.0481442004358893,4384.0,5514.0
308,Filler-5252,Filler,5252,981.4060929846096,0.0497867207060412,4764.0,5942.0
309,Filler-5258,Filler,5258,983.501454107298,0.048264781560338,4808.0,5544.0
310,Filler-5287,Filler,5287,971.9225985348204,0.0470813800407799,4588.0,5234.0
311,Filler-5289,Filler,5289,982.4293637209952,0.0468493283521702,4784.0,5162.0
312,Filler-5309,Filler,5309,1007.60613301326,0.0484724143823441,5182.0,5588.0
313,Filler-5312,Filler,5312,1056.4608148970594,0.0498713772492161,6002.0,5972.0
314,Filler-5317,Filler,5317,977.7780390084456,0.0460001837278963,4710.0,4916.0
315,Filler-5328,Filler,5328,1034.9497695819084,0.0487415945276066,5632.0,5655.0
316,Filler-5334,Filler,5334,1000.7727257947804,0.0448147571196637,5077.0,4599.0
317,Filler-5338,Filler,5338,988.8066905174866,0.0508705188436748,4898.0,6232.0
318,Filler-5339,Filler,5339,1063.686771325209,0.0508957120387274,6144.0,6237.0
319,Filler-5346,Filler,5346,969.333435843624,0.0448961986089851,4546.0,4625.0
320,Filler-5398,Filler,5398,951.6901550965608,0.0490644935527603,4268.0,5734.0
321,Filler-5439,Filler,5439,951.6056607610608,0.0498390369834065,4266.0,5961.0
322,Filler-5469,Filler,5469,976.2868252507884,0.0462421335000761,4671.0,4984.0
323,Filler-5486,Filler,5486,1053.2114522952838,0.0440104250658768,5944.0,4368.0
324,Filler-5527,Filler,5527,1013.2236160895804,0.0448650559056085,5272.0,4616.0
325,Filler-5559,Filler,5559,988.3073277531504,0.0484642287647125,4885.0,5585.0
326,Filler-5567,Filler,5567,1058.9488579753845,0.0502099022746146,6044.0,6067.0
327,Filler-5596,Filler,5596,1046.634358594119,0.0449163774396532,5844.0,4631.0
328,Filler-5607,Filler,5607,1014.0775003405316,0.0449294265030867,5287.0,4639.0
329,Filler-5642,Filler,5642,1060.5645237947176,0.0468075051732675,6070.0,5155.0
